ID,Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Included?
35,ECSA,2020,Rasmus SvenssonAdell TatrousFrancis Palma,Defining Design Patterns for IoT APIs,10.1007/978-3-030-59155-7_32,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_32,Yes,Yes,Yes
36,ECSA,2020,Hassan HageVahid HashemiFrank Mantwill,Towards a Systems Engineering Based Automotive Product Engineering Process,10.1007/978-3-030-59155-7_38,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_38,No,Yes,No
37,ECSA,2020,Matthew CauwelsAbigail HammerBenjamin HertzPhillip H. JonesKristin Y. Rozier,Integrating Runtime Verification into an Automated UAS Traffic Management System,10.1007/978-3-030-59155-7_26,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_26,No,Yes,No
38,ECSA,2020,Akram Idani,Dependability of Model-Driven Executable DSLs,10.1007/978-3-030-59155-7_27,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_27,No,Yes,No
39,ECSA,2020,Karla MorrisColin SnookThai Son HoangGeoffrey HuletteRobert ArmstrongMichael Butler,Formal Verification of Run-to-Completion Style Statecharts Using Event-B,10.1007/978-3-030-59155-7_24,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_24,No,Yes,No
40,ECSA,2019,Ken PowerRebecca Wirfs-Brock,An Exploratory Study of Naturalistic Decision Making in Complex Software Architecture Environments,10.1007/978-3-030-29983-5_4,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_4,No,Yes,No
41,ECSA,2019,Hasan Sîzer,Evaluating the Effectiveness of Multi-level Greedy Modularity Clustering for Software Architecture Recovery,10.1007/978-3-030-29983-5_5,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_5,Yes,Yes,Yes
42,ECSA,2019,Axel BuschDominik Fuch·Maximilian EckertAnne Koziolek,Assessing the Quality Impact of Features in Component-Based Software Architectures,10.1007/978-3-030-29983-5_14,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_14,No,Yes,No
43,ECSA,2019,Michael MayrhoferChristoph Mayr-DornAlois ZoitlOuijdane GuizaGeorg WeichhartAlexander Egyed,Assessing Adaptability of Software Architectures for Cyber Physical Production Systems,10.1007/978-3-030-29983-5_10,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_10,No,Yes,No
44,ECSA,2019,Lu°s NunesNuno SantosAnt¢nio Rito Silva,From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts,10.1007/978-3-030-29983-5_3,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_3,No,Yes,No
45,ECSA,2019,Tobias WÑgemannRamin Tavakoli KolagariKlaus Schmid,ADOOPLA - Combining Product-Line- and Product-Level Criteria in Multi-objective Optimization of Product Line Architectures,10.1007/978-3-030-29983-5_9,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_9,No,Yes,No
46,ECSA,2019,Martina De SanctisRomina SpalazzeseCatia Trubiani,QoS-Based Formation of Software Architectures in the Internet of Things,10.1007/978-3-030-29983-5_12,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_12,No,Yes,No
47,ECSA,2019,Ilaria PigazziniFrancesca Arcelli FontanaAndrea Maggioni,Tool Support for the Migration to Microservice Architecture: An Industrial Case Study,10.1007/978-3-030-29983-5_17,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_17,No,Yes,No
48,ECSA,2019,Somayeh MalakutiJohannes SchmittMarie Platenius-MohrSten GrÅnerRalf GitzelPrerna Bihani,A Four-Layer Architecture Pattern for Constructing and Managing Digital Twins,10.1007/978-3-030-29983-5_16,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_16,No,Yes,No
49,ECSA,2019,Rajitha YasaweerasinghelageMark StaplesHye-Young PaikIngo Weber,"Optimising Architectures for Performance, Cost, and Security",10.1007/978-3-030-29983-5_11,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_11,No,Yes,No
50,ECSA,2019,Evangelos NtentosUwe ZdunKonstantinos PlakidasDaniel SchallFei LiSebastian Meixner,Supporting Architectural Decision Making on Data Management in Microservice Architectures,10.1007/978-3-030-29983-5_2,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_2,No,Yes,No
51,ECSA,2019,Angelika MusilJuergen MusilDanny WeynsStefan Biffl,Continuous Adaptation Management in Collective Intelligence Systems,10.1007/978-3-030-29983-5_8,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_8,No,Yes,No
52,ECSA,2019,Amine El MalkiUwe Zdun,Guiding Architectural Decision Making on Service Mesh Based Microservice Architectures,10.1007/978-3-030-29983-5_1,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_1,No,Yes,No
53,ECSA,2019,Camilo CastellanosBoris PÇrezCarlos A. VarelaMar°a del Pilar VillamilDario Correal,A Survey on Big Data Analytics Solutions Deployment,10.1007/978-3-030-29983-5_13,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_13,No,Yes,No
54,ECSA,2019,David Issa MattosJan BoschHelena Holmstrîm Olsson,ACE: Easy Deployment of Field Optimization Experiments,10.1007/978-3-030-29983-5_18,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_18,No,Yes,No
55,ECSA,2019,Matthias GalsterFabian GilsonFranáois Georis,What Quality Attributes Can We Find in Product Backlogs? A Machine Learning Perspective,10.1007/978-3-030-29983-5_6,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_6,Yes,Yes,Yes
56,ECSA,2019,Ivan LujicHong-Linh Truong,Architecturing Elastic Edge Storage Services for Data-Driven Decision Making,10.1007/978-3-030-29983-5_7,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_7,No,Yes,No
57,ECSA,2019,Michael Striewe,Components and Design Alternatives in E-Assessment Systems,10.1007/978-3-030-29983-5_15,http://link.springer.com/chapter/10.1007/978-3-030-29983-5_15,No,Yes,No
58,ECSA,2018,Henry MucciniMahyar Tourchi Moghaddam,IoT Architectural Styles,10.1007/978-3-030-00761-4_5,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_5,No,Yes,No
59,ECSA,2018,Georg BuchgeherRainer WeinreichHeinz Huber,A Platform for the Automated Provisioning of Architecture Information for Large-Scale Service-Oriented Software Systems,10.1007/978-3-030-00761-4_14,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_14,No,Yes,No
60,ECSA,2018,Wensheng WuYuanfang CaiRick KazmanRan MoZhipeng LiuRongbiao ChenYingan GeWeicai LiuJunhui Zhang,Software Architecture Measurement?Experiences from a Multinational Company,10.1007/978-3-030-00761-4_20,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_20,No,Yes,No
61,ECSA,2018,Konstantinos PlakidasDaniel SchallUwe Zdun,Software Migration and Architecture Evolution with Industrial Platforms: A Multi-case Study,10.1007/978-3-030-00761-4_22,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_22,No,Yes,No
62,ECSA,2018,Pablo Oliveira AntoninoMatthias JungAndreas MorgensternFlorian Fa·nachtThomas BauerAdam BachorekThomas KuhnElisa Yumi Nakagawa,Enabling Continuous Software Engineering for Embedded Systems Architectures with Virtual Prototypes,10.1007/978-3-030-00761-4_8,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_8,No,Yes,No
63,ECSA,2018,Flavio Oquendo,Formally Describing Self-organizing Architectures for Systems-of-Systems on the Internet-of-Things,10.1007/978-3-030-00761-4_2,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_2,No,Yes,No
64,ECSA,2018,John SprayRoopak Sinha,Abstraction Layered Architecture: Writing Maintainable Embedded Code,10.1007/978-3-030-00761-4_9,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_9,No,Yes,No
65,ECSA,2018,Ken PowerRebecca Wirfs-Brock,Understanding Architecture Decisions in Context,10.1007/978-3-030-00761-4_19,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_19,No,Yes,No
66,ECSA,2018,Danny WeynsM. Usman IftikharDanny HughesNelson Matthys,Applying Architecture-Based Adaptation to Automate the Management of Internet-of-Things,10.1007/978-3-030-00761-4_4,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_4,No,Yes,No
67,ECSA,2018,Yves SchneiderAxel BuschAnne Koziolek,Using Informal Knowledge for Improving Software Quality Trade-Off Decisions,10.1007/978-3-030-00761-4_18,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_18,No,Yes,No
68,ECSA,2018,Henrik Bërbak Christensen,Crunch: Automated Assessment of Microservice Architecture Assignments with Formative Feedback,10.1007/978-3-030-00761-4_12,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_12,No,Yes,No
69,ECSA,2018,Alberto AvritzerVincenzo FermeAndrea JanesBarbara RussoHenning SchulzAndrÇ van Hoorn,A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing,10.1007/978-3-030-00761-4_11,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_11,No,Yes,No
70,ECSA,2018,Mohamed Lamine KerdoudiChouki TibermacineSalah Sadou,Spotlighting Use Case Specific Architectures,10.1007/978-3-030-00761-4_16,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_16,No,Yes,No
71,ECSA,2018,Femke HeijenkMartin van den BergHenrik LeopoldHans van VlietRaymond Slot,Empirical Insights into the Evolving Role of Architects in Decision-Making in an Agile Context,10.1007/978-3-030-00761-4_17,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_17,No,Yes,No
72,ECSA,2018,Antonio MartiniFrancesca Arcelli FontanaAndrea BiaggiRiccardo Roveda,Identifying and Prioritizing Architectural Debt Through Architectural Smells: A Case Study in a Large Software Company,10.1007/978-3-030-00761-4_21,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_21,Yes,Yes,Yes
73,ECSA,2018,Christopher GerkingDavid Schubert,Towards Preserving Information Flow Security on Architectural Composition of Cyber-Physical Systems,10.1007/978-3-030-00761-4_10,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_10,No,Yes,No
74,ECSA,2018,Davi MonteiroRìmulo GadelhaPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonáa,Beethoven: An Event-Driven Lightweight Platform for Microservice Orchestration,10.1007/978-3-030-00761-4_13,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_13,No,Yes,No
75,ECSA,2018,Camilo CastellanosDario CorrealJuliana-Davila Rodriguez,Executing Architectural Models for Big Data Analytics,10.1007/978-3-030-00761-4_24,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_24,No,Yes,No
76,ECSA,2018,Somayeh MalakutiThomas GoldschmidtHeiko Koziolek,A Catalogue of Architectural Decisions for Designing IIoT Systems,10.1007/978-3-030-00761-4_7,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_7,No,Yes,No
77,ECSA,2018,Fahed AlkhabbasRomina SpalazzesePaul Davidsson,ECo-IoT: An Architectural Approach for Realizing Emergent Configurations in the Internet of Things,10.1007/978-3-030-00761-4_6,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_6,No,Yes,No
78,ECSA,2018,Lukas MÑrtinNils-AndrÇ ForjahnAnne KoziolekRalf Reussner,Guidance of Architectural Changes in Technical Systems with Varying Operational Modes,10.1007/978-3-030-00761-4_3,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_3,No,Yes,No
79,ECSA,2018,Katja TumaRiccardo Scandariato,Two Architectural Threat Analysis Techniques Compared,10.1007/978-3-030-00761-4_23,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_23,No,Yes,No
80,ECSA,2018,Chii ChangSatish Narayana Srirama,Providing Context as a Service Using Service-Oriented Mobile Indie Fog and Opportunistic Computing,10.1007/978-3-030-00761-4_15,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_15,No,Yes,No
81,ECSA,2018,Paolo ArcainiRaffaela MirandolaElvinia RiccobenePatrizia Scandurra,A DSL for MAPE Patterns Representation in Self-adapting Systems,10.1007/978-3-030-00761-4_1,http://link.springer.com/chapter/10.1007/978-3-030-00761-4_1,No,Yes,No
82,ECSA,2017,Eoin WoodsRabih Bashroush,A Model for Prioritization of Software Architecture Effort,10.1007/978-3-319-65831-5_13,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_13,No,Yes,No
83,ECSA,2017,Andrew LeighMichel WermelingerAndrea Zisman,Software Architecture Risk Containers,10.1007/978-3-319-65831-5_12,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_12,No,Yes,No
84,ECSA,2017,Andrzej ZalewskiKlara BorowaAndrzej Ratkowski,On Cognitive Biases in Architecture Decision Making,10.1007/978-3-319-65831-5_9,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_9,No,Yes,No
85,ECSA,2017,Mohammad SharafMoamin AbughazalaHenry MucciniMai Abusair,An Architecture Framework for Modelling and Simulation of Situational-Aware Cyber-Physical Systems,10.1007/978-3-319-65831-5_7,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_7,No,Yes,No
86,ECSA,2017,Juarez L. M. FilhoLincoln RochaRossana AndradeRicardo Britto,Preventing Erosion in Exception Handling Design Using Static-Architecture Conformance Checking,10.1007/978-3-319-65831-5_5,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_5,No,Yes,No
87,ECSA,2017,Javier C†maraDavid GarlanBradley Schmerl,Synthesis and Quantitative Verification of Tradeoff Spaces for Families of Software Systems,10.1007/978-3-319-65831-5_1,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_1,No,Yes,No
88,ECSA,2017,Stefan HaselbîckRainer WeinreichGeorg Buchgeher,"Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements",10.1007/978-3-319-65831-5_11,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_11,No,Yes,No
89,ECSA,2017,Chen YangPeng LiangParis AvgeriouUlf EliassonRogardt HeldalPatrizio Pelliccione,Architectural Assumptions and Their Management in Industry ? An Exploratory Study,10.1007/978-3-319-65831-5_14,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_14,No,Yes,No
90,ECSA,2017,Georg BuchgeherMario WintererRainer WeinreichJohannes LugerRoland WingelhoferMario Aistleitner,Microservices in a Small Development Organization,10.1007/978-3-319-65831-5_15,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_15,No,Yes,No
91,ECSA,2017,Catia TrubianiRaffaela Mirandola,Continuous Rearchitecting of QoS Models: Collaborative Analysis for Uncertainty Reduction,10.1007/978-3-319-65831-5_3,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_3,No,Yes,No
92,ECSA,2017,Federico GiaimoChristian BergerCrispin Kirchner,Considerations About Continuous Experimentation for Resource-Constrained Platforms in Self-driving Vehicles,10.1007/978-3-319-65831-5_6,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_6,No,Yes,No
93,ECSA,2017,Thanh Dat NguyenYassine OuhammouEmmanuel Grolleau,PARAD Repository: On the Capitalization of the Performance Analysis Process for AADL Designs,10.1007/978-3-319-65831-5_2,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_2,No,No,No
94,ECSA,2017,Manoj BhatKlym ShumaievAndreas BiesdorfUwe HohensteinFlorian Matthes,Automatic Extraction of Design Decisions from Issue Management Systems: A Machine Learning Based Approach,10.1007/978-3-319-65831-5_10,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_10,Yes,Yes,Yes
95,ECSA,2017,Georgios DigkasMircea LunguAlexander ChatzigeorgiouParis Avgeriou,The Evolution of Technical Debt in the Apache Ecosystem,10.1007/978-3-319-65831-5_4,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_4,Yes,Yes,Yes
96,ECSA,2017,Narges Khakpour,Control of Self-adaptation Under Partial Observation: A Modular Approach,10.1007/978-3-319-65831-5_8,http://link.springer.com/chapter/10.1007/978-3-319-65831-5_8,No,Yes,No
97,ECSA,2016,Flavio Oquendo,Software Architecture Challenges and Emerging Research in Software-Intensive Systems-of-Systems,10.1007/978-3-319-48992-6_1,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_1,No,Yes,No
98,ECSA,2016,Zoya AlexeevaDiego Perez-PalacinRaffaela Mirandola,Design Decision Documentation: A Literature Overview,10.1007/978-3-319-48992-6_6,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_6,No,Yes,No
99,ECSA,2016,Sandun DasanayakeJouni MarkkulaSanja AaramaaMarkku Oivo,An Empirical Study on Collaborative Architecture Decision Making in Software Teams,10.1007/978-3-319-48992-6_18,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_18,No,Yes,No
100,ECSA,2016,Ersin ErsoyKamer KayaMetin Alt?n???kHasan Sîzer,Using Hypergraph Clustering for Software Architecture Reconstruction of Data-Tier Software,10.1007/978-3-319-48992-6_24,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_24,Yes,Yes,Yes
101,ECSA,2016,Flavio OquendoJair LeiteThais Batista,Executing Software Architecture Descriptions with SysADL,10.1007/978-3-319-48992-6_9,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_9,No,Yes,No
102,ECSA,2016,Adel HassanAudrey QueudetMourad Oussalah,Evolution Style: Framework for Dynamic Evolution of Real-Time Software Architecture,10.1007/978-3-319-48992-6_12,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_12,No,Yes,No
103,ECSA,2016,Dalia SobhyRami BahsoonLeandro MinkuRick Kazman,Diversifying Software Architecture for Sustainability: A Value-Based Perspective,10.1007/978-3-319-48992-6_4,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_4,No,Yes,No
104,ECSA,2016,Courtney SchriekJan Martijn E. M. van der WerfAntony TangFloris Bex,Software Architecture Design Reasoning: A Card Game to Help Novice Designers,10.1007/978-3-319-48992-6_2,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_2,No,Yes,No
105,ECSA,2016,Sandra SchrîderMatthias RiebischMohamed Soliman,Architecture Enforcement Concerns and Activities - An Expert Study,10.1007/978-3-319-48992-6_19,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_19,No,Yes,No
106,ECSA,2016,Antonio BrogiJose CarrascoJavier CuboFrancesco D?AndriaElisabetta Di NittoMichele GuerrieroDiego PÇrezErnesto PimentelJacopo Soldani,SeaClouds: An Open Reference Architecture for Multi-cloud Governance,10.1007/978-3-319-48992-6_25,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_25,No,Yes,No
107,ECSA,2016,Everton CavalcanteJean QuilbeufLouis-Marie TraonouezFlavio OquendoThais BatistaAxel Legay,Statistical Model Checking of Dynamic Software Architectures,10.1007/978-3-319-48992-6_14,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_14,No,Yes,No
108,ECSA,2016,Zakarea AlsharaAbdelhak-Djamel SeriaiChouki TibermacineHinde Lilia BouzianeChristophe DonyAnas Shatnawi,Materializing Architecture Recovered from Object-Oriented Source Code in Component-Based Languages,10.1007/978-3-319-48992-6_23,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_23,No,Yes,No
109,ECSA,2016,Tobias HolsteinJoachim Wietzke,Towards an Architecture for an UI-Compositor for Multi-OS Environments,10.1007/978-3-319-48992-6_10,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_10,No,Yes,No
110,ECSA,2016,Soraya Mesli-KesraouiDjamal KesraouiFlavio OquendoAlain BignonArmand ToguyeniPascal Berruet,Formal Verification of Software-Intensive Systems Architectures Described with Piping and Instrumentation Diagrams,10.1007/978-3-319-48992-6_16,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_16,No,Yes,No
