ID,Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Pilot,RQ1: Data sources - From WHERE,RQ1: Data sources ,"RQ1: Data sources 
(Agreed)",RQ2: Reasons for MSR4SA ,RQ2: Reasons for MSR4SA,RQ2: motivation,RQ2.motivation Codes,RQ2.why_msr Codes,RQ2: High-level Tags,RQ2: why msr,RQ2: study type,RQ2.study_type,RQ2: study type (Agreed),RQ3: Architectural design activities WHAT FOR,RQ3: Architectural design activities,"RQ3: Architectural design activities 
(Agreed)",RQ4: Mining techniques - HOW,RQ4: Mining techniques,"RQ4: Mining techniques 
(Agreed)",RQ5: Type of information RETRIEVED,RQ5: Type of information,"RQ5: Type of information
(Agreed)",,,,,,,,,
300,2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,E. Bouwers; J. P. Correia; A. v. Deursen; J. Visser,Quantifying the Analyzability of Software Architectures,10.1109/WICSA.2011.20,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959722,Yes,Yes,No,,[source code repository],,,"""evaluate whether the architecture of the software system is still in line with the requirements of the stakeholders""
""interaction of various stakeholders and experts, which makes this a time-consuming and expensive process""
""benefits from the use of software metrics""
""reducing the effort and time""
""evaluation more objective and repeatable""
""enable continuous monitoring and thus early detection of deviations in quality""
""system?s analyzability""
""we present a metric called Component Balance""
""test the correlation of the values of the metric with the judgement of experts""
""qualitative case study""",[Industrial_financial_costs][Achieve_quality_attributes],,,,,[Evaluate_approach],,,,[architectural_evaluation],,,,[static_analysis][statistical_analysis],,[metrics],,,,,,,,,,
302,2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,N. Brown; R. L. Nord; I. Ozkaya; M. Pais,Analysis and Management of Architectural Dependencies in Iterative Release Planning,10.1109/WICSA.2011.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959724,Yes,Yes,No,,[architecture_design_documentation][Requirements],,,"""incremental development paradigm,""
""reduce cost by avoiding architectural refactoring""
""deliver value to the customer early""
""provide such guidance using dependency mapping and analytic techniques that provide insight into the cost and value implications of specific iterative delivery strategies.""",[Industrial_financial_costs][Support_software_process],,,,,[Exploratory],,,,[architectural_analysis],,,,[statistical_analysis],,[metrics],,,,,,,,,,
222,2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,M. Astekin; H. S??zer,Utilizing Clone Detection for Domain Analysis of Simulation Systems,10.1109/WICSA-ECSA.212.47,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337737,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,2012 9th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2012,W. Hu; D. Han; A. Hindle; K. Wong,The build dependency perspective of Android's concrete architecture,10.1109/MSR.2012.6224270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224270,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,J. Garcia; I. Krka; N. Medvidovic; C. Douglas,A Framework for Obtaining the Ground-Truth in Architectural Recovery,10.1109/WICSA-ECSA.212.48,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337738,Yes,Yes,Yes,***documentation/principles***[generic_SE_documentation][domain_information][application_documentation][system_context_information],Documentation and source code repositories,[source code repository][Documentation],,"""The effort and cost of software maintenance tends to dominate other activities in a software system?s lifecycle.""
""A critical aspect of maintenance is understanding and updating a software system?s architecture.""
""maintenance of a system?s architecture is exacerbated by the related phenomena of architectural drift and erosion""
""help recover a system?s architecture from its implementation""
""existing techniques suffer from inaccuracy""
""Obtaining reliable authoritative recoveries remains challeng""
""an authoritative recovery performed by an engineer who is not an expert for a particular system may not reflect the true architecture as viewed by the system?s architect.""
""the engineer is a long term contributor with intimate knowledge of the system?s architecture, or long-term contributor for short""
""dearth of ground-truth recoveries due to the colossal effort required for an engineer to produce such a recovery""",[Support software maintenance][architectural program comprehension][Due to architecture erosion][accuracy and reliability of architecture recovery methods][dearth of ground truth],[architectural_decay][existing_architecture_extraction_techniques][authoratative_recovery_certification],[existing_partial_documentation][validated_expert_contributors][avoid_surveys],[Support_software_process][Support_architectural_program_comprehension][Identify_and_resolve_issues_in_existing_system][Limitations_in_existing_tools][dearth_of_ground_truth],,[Evaluate_approach],[exploratory][validation],,[architectural_analysis],Architectural analysis,[architectural_analysis],[manual_documentation_gathering][semiautomatic_recovery][unsupervised_learning],"Recovery techniques, qualitative analysis",[static_analysis][model_analysis][qualitative_analysis],[architecture_model],Architectural components,[architectural_components_design][architectural_components],,,,,,,,,
216,2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,R. Weinreich; C. Miesbauer; G. Buchgeher; T. Kriechbaum,Extracting and Facilitating Architecture in Service-Oriented Software Systems,10.1109/WICSA-ECSA.212.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337764,Yes,Yes,No,,,[source code repository][bytecode],,"""Service-Oriented Architecture (SOA)""
""managing and maintaining such software systems over time""
""Architectural information about a SOA is created and maintained by different stakeholders using different artifacts and tools""
""manually maintaining...error prone and costly, potentially leading to missing, incomplete, and inconsistent information.""
""The extracted information can then be used for evolutionary design changes, quality assurance and impact analysis and also as the basis for synchronizing architectural information""",[Industrial_financial_costs][Support_software_process][Support_architectural_program_comprehension][AK is in multiple sources],,,,,[Evaluate_approach],,,,[architectural_analysis],,,[code_analysis][bytecode_analysis][visualization],,,[architectural_components],,,,,,,,,,
257,2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,W. Heider; M. Vierhauser; D. Lettner; P. Gr?¨nbacher,A Case Study on the Evolution of a Component-based Product Line,10.1109/WICSA-ECSA.212.8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337756,Yes,Yes,No,,,[Requirements][Issue_tracker][meetings_protocols],,"""A software product line""
""reducing costs, accelerating time-to-market, and increasing product quality.""
""Product lines need to evolve and adapt continuously to stay competitive, to meet requirements of new customers""
""domain engineering and application engineering""
""Variability always needs to be considered""
""when maintaining or evolving the reusable assets""",[Achieve_quality_attributes][Industrial_financial_costs][Support_software_process][Multidesciplinary],,,,,[Exploratory],,,,Not mentioned,,,[qualitative_analysis],,,[architectural_components],,,,,,,,,,
499,2012 9th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2012,V. Guana; F. Rocha; A. Hindle; E. Stroulia,Do the stars align? Multidimensional analysis of Android's layered architecture,10.1109/MSR.2012.6224269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224269,Yes,Yes,No,,[issues_tracking],,,"""investing time fixing problematic issues of a system.""
""team distribution or resource investment""",[Industrial_financial_costs][team_distribution],,,,,[Exploratory],,,,Not mentioned,,,,[statistical_analysis],,[architectural_components],,,,,,,,,,
478,2013 10th Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2013,S. Raemaekers; G. F. Nane; A. van Deursen; J. Visser,"Testing principles, current practices, and effects of change localization",10.1109/MSR.2013.6624037,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6624037,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2013 10th Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2013,L. B. L. de Souza; M. de Almeida Maia,Do software categories impact coupling metrics?,10.1109/MSR.2013.6624030,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6624030,Yes,Yes,Yes,[source_code][iplasm_tool],Source code repository (3073 projects),[source code repository],,"""""module coupling""
""design with highly interdependent modules tends to be rigid and difficult to reuse and maintain""
""the huge amount of information in software repositories""
""Our hypothesis is that a larger scale study with a careful characterization of samples for different domains could indicate significant differences between metric values of different domains.""",[Importance of loose coupling for maintainability][Huge amount of information][Support generalizability of results on different domains],[module_coupling][impacts_quality][larger_study_practice][gather_coupling_metrics],[open_source_projects][different_domain][rich_information],[Achieve_quality_attributes][Save_manual_efforts][Support_Generalisability],,[Exploratory],[exploratory],[Exploratory],[architectural_synthesis][architectural_evaluation],---,---,[manual_qualitative_analysis][static_analysis],statistical analysis,[statistical_analysis],[coupling_metrics],Coupling metrics,[metrics],,,,,,,,,
215,ECSA,2013,Jan Salvador van der VenJan Bosch,Making the Right Decision: Supporting Architects with Design Decision Data,10.1007/978-3-642-39031-9_15,http://link.springer.com/chapter/10.1007/978-3-642-39031-9_15,Yes,Yes,No,,[source code repository],,,"""this selection is done based on descriptions on websites, anecdotal experiences or sometimes proof of concept implementations"" ""design decisions often are guesses based on circumstantial evidence that are only validated once the system has been built or changed and it is, once again, in operation.""
""Wouldn?t it be great if software architects could get access to the decisions made by other architects, that would allow them to determine what selections were made from a set of alternatives and with what frequency?""
""several open-source software repositories have achieved broad adoption and host thousands"" ""with millions of repositories millions of developers.""
""In order to provide the lone software architects with objective, quantified and statistical information about the design decisions that other architects have made, version management systems provide an excellent source of data.""
""an automated, rather than manual, approach""",[anecdotal architectural experiences][Capture_architectural_knowledge][Open-source],,,,,[Exploratory],,,,[synthesis],,,[source code analysis][visualization][qualitative_analysis],,,[Architectural knowledge][Architectural commits][architectural_decisions_And_Rationale],,,,,,,,,,
204,2014 IEEE/IFIP Conference on [::Software::] [::Architecture::],2014,R. Weinreich; G. Buchgeher,Automatic Reference Architecture Conformance Checking for SOA-Based Software Systems,10.1109/WICSA.2014.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6827106,Yes,Yes,No,,[source code repository][Reference_architecture],,,"""focus on reuse"" ""encode important design decisions for applications in a particular domain""",[Achieve_quality_attributes][Identify_and_resolve_issues_in_existing_system],,,,,[Evaluate_approach],,,,[architectural_analysis],,,[source code analysis][visualization][model_analysis],,,[architectural_components],,,,,,,,,,
379,2015 IEEE/ACM 12th Working Conference on [::Mining::] [::Software::] [::Repositories::],2015,M. Wermelinger; Y. Yu,An Architectural Evolution Dataset,10.1109/MSR.2015.74,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180128,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,2015 IEEE/ACM 12th Working Conference on [::Mining::] [::Software::] [::Repositories::],2015,D. M. Le; P. Behnamghader; J. Garcia; D. Link; A. Shahbazian; N. Medvidovic,An Empirical Study of Architectural Change in Open-Source Software Systems,10.1109/MSR.2015.29,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180083,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2015 IEEE/ACM 12th Working Conference on [::Mining::] [::Software::] [::Repositories::],2015,M. Mirakhorli; J. Cleland-Huang,"Modifications, Tweaks, and Bug Fixes in Architectural Tactics",10.1109/MSR.2015.44,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180098,Yes,Yes,No,,[source code repository][issues_tracking],,,"""quality concerns such as reliability, dependability, security, and performance""
""architectural quality tends to erode as a result of ongoing modifications and maintenance efforts""",[Achieve_quality_attributes][Identify_and_resolve_issues_in_existing_system],,,,,[Exploratory],,,,Not mentioned,,,,[statistical_analysis][code_analysis],,[Correlations][metrics][architectural_solutions],,,,,,,,,,
414,2015 IEEE/ACM 12th Working Conference on [::Mining::] [::Software::] [::Repositories::],2015,E. Kouroshfar; M. Mirakhorli; H. Bagheri; L. Xiao; S. Malek; Y. Cai,A Study on the Role of Software Architecture in the Evolution and Quality of Software,10.1109/MSR.2015.30,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180084,Yes,Yes,No,,[source code repository][issues_tracking],,,"""complexity of implementing and maintaining software systems""
""scattered functionality, a well-known architectural bad smell, increases the system?s complexity by intermingling the functionality across multiple architectural modules""
""Monitoring the complexity of making changes""
""measuring its effect on software quality""","[Achieve_quality_attributes][Identify_and_resolve_issues_in_existing_system][Architectural_solutions_growth,_limitations_and_complexities]",,,,,[Exploratory],,,,Not mentioned,,,,[static_analysis][machine_learning][statistical_analysis][visualization],,[Correlations][metrics][architectural_components],,,,,,,,,,
172,2015 12th Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2015,R. Mo; Y. Cai; R. Kazman; L. Xiao,Hotspot Patterns: The Formal Definition and Automatic Detection of Architecture Smells,10.1109/WICSA.2015.12,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158503,Yes,Yes,No,,[source code repository][issues_tracking],,,"""the most error prone files are typically highly architecturally connected, and can be captured by just a few DRSpaces.""
""we have observed  that there are just a few distinct types of architecture issues, and these occur over and over again""",[Identify_and_resolve_issues_in_existing_system],,,,,[Evaluate_approach],,,,Not mentioned,,,,[code_analysis][model_analysis],,[architectural_quality_issues],,,,,,,,,,
178,2015 12th Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2015,J. Y. Bang; N. Medvidovic,Proactive Detection of Higher-Order Software Design Conflicts,10.1109/WICSA.2015.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158517,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,T. Gerlitz; S. Kowalewski,Architectural Analysis of MATLAB/Simulink Models with Artshop,10.1109/WICSA.2016.54,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516853,Yes,Yes,Yes,[matlab_models][source_code],,,,,,[mode_based_sofware][automorive_industry][mathlab_as_tool][automatic_architecture_assessment][norms],[existing_models_and_code],,,,[exploratory],,[architectural_analysis][architectural_evaluation],,,[graph_based_analysis][code_static_analysis][matlab_model_analysis],,,[duplications][model_slicing][coupling_cohesion_metrics],,,,,,,,,,,
120,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. C. S. Santos; M. Mirakhorli; I. Mujhid; W. Zogaan,BUDGET: A Tool for Supporting Software Architecture Traceability Research,10.1109/WICSA.2016.47,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516852,Yes,Yes,Yes,[source_code][architectural_tactics],Web pages and source code repositories,[source code repository][Web],,"""Automated traceability techniques are more increasingly being used by the industry to support developers during software engineering activities, such as compliance checking, verification and validation, acceptance testing and architectural analysis""
""Another user can use traceability techniques to trace quality attributes such as performance, reliability and availability into architectural tactics/patterns [2] used to implement them and the realization of these tactics/patterns in the source code.""
""creating such datasets requires months of manual effort.""
""reduce the upfront costs associated with creating training sets for supervised and semi unsupervised software traceability approaches.""",[Support traceability of quality attributes to tactics][To save Manual effort],[trace_architectural_artifacts][ml_techniques][great_effort_on_training_dataset],[public_information][automated_approach][less_effort],[Achieve_quality_attributes][Save_manual_efforts],[Manual effort],[Evaluate_approach],[exploratory],,[architectural_analysis],Architectural analysis,[architectural_analysis],[supervised_learning],Information retrieval,[information retrieval],[ml_training_data][code_snippets_architectural_tactics],Web-pages and source code related to tactics,[tactics][architectural_solutions],,,,,,,,,
100,ECSA,2016,Ersin ErsoyKamer KayaMetin Alt?n???kHasan Sîzer,Using Hypergraph Clustering for Software Architecture Reconstruction of Data-Tier Software,10.1007/978-3-319-48992-6_24,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_24,Yes,Yes,No,[database_structure][source_code],,,,"""Modularity is one of the key properties for software design ""
""Otherwise, the maintainability and evolvability of the system suffer. ""
""Software architecture documentation might be incorrect/incomplete for old
legacy systems due to architectural drift""
""Software architecture reconstruction (SAR) techniques [8] have been introduced to recover such documentation""",,"[software_modularity][increase_maintainability][architectural_drift_decay][software_architecture_reconstruction]
legacy systems due to architectural drift",[existing_source_code][existing_database][sar],,,,,,[architectural_analysis][architectural_synthesis],,,[graph_analysis][unsupervides_learning][clustering],,,[hypergraph_model][weighted_model][package_model_diagram],,,,,,,,,,,
119,ECSA,2016,Christel KaptoGhizlane El BoussaidiSägla KpodjedoChouki Tibermacine,Inferring Architectural Evolution from Source Code Analysis,10.1007/978-3-319-48992-6_11,http://link.springer.com/chapter/10.1007/978-3-319-48992-6_11,Yes,Yes,No,[source_code][tactics_description_documentation],,,,"""hypothesize that some of the architectural intentions can be
inferred from the analysis of the evolution of the source code""
""Clustering a set of changes made to the source code and analyzing the results may reveal a high level
decision. """,,[architectural_intention_inference][source_code_evolution],[reverse_engineering][existing_source_code],,,,,,[architectural_analysis][architectural_synthesis],,,[source_code_graph_representation][graph_analysis],,,[design_tactics],,,,,,,,,,,
127,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,R. L. Nord; R. Sangwan; J. Delange; P. Feiler; L. Thomas; I. Ozkaya,Missed Architectural Dependencies: The Elephant in the Room,10.1109/WICSA.2016.32,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516810,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,M. Langhammer; A. Shahbazian; N. Medvidovic; R. H. Reussner,Automated Extraction of Rich Software Models from Limited System Information,10.1109/WICSA.2016.35,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516816,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,M. Soliman; M. Galster; A. R. Salama; M. Riebisch,Architectural Knowledge for Technology Decisions in Developer Communities: An Exploratory Study with StackOverflow,10.1109/WICSA.2016.13,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516820,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,A. Nicolaescu; H. Lichter,Behavior-Based Architecture Reconstruction and Conformance Checking,10.1109/WICSA.2016.25,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516824,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,N. B. Harrison; E. Gubler; D. Skinner,Software Architecture Pattern Morphology in Open-Source Systems,10.1109/WICSA.2016.8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516815,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. Klein; I. Gorton; L. Alhmoud; J. Gao; C. Gemici; R. Kapoor; P. Nair; V. Saravagi,Model-Driven Observability for Big Data Storage,10.1109/WICSA.2016.27,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516821,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,D. M. Le; C. Carrillo; R. Capilla; N. Medvidovic,Relating Architectural Decay and Sustainability of Software Systems,10.1109/WICSA.2016.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516827,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,E. Yuan; S. Malek,Mining Software Component Interactions to Detect Security Threats at the Architectural Level,10.1109/WICSA.2016.12,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516831,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,J. Peters; J. M. E. M. van der Werf; J. Hage,Architectural Pattern Definition for Semantically Rich Modular Architectures,10.1109/WICSA.2016.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516839,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,F. A. Fontana; R. Roveda; M. Zanoni; C. Raibulet; R. Capilla,An Experience Report on Detecting and Repairing Software Architecture Erosion,10.1109/WICSA.2016.37,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516808,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,Q. Feng; R. Kazman; Y. Cai; R. Mo; L. Xiao,Towards an Architecture-Centric Approach to Security Analysis,10.1109/WICSA.2016.41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516832,Yes,Yes,No,,[source code repository][issues_tracking],,,"""systems grow in size.""
""no guarantee that the fixes to these files were complete or sufficien""
""The impact of the architectural relations among these files on software security, as well as the impact of security patches to architecture, were never fully understood""
""anecdotal evidence that architecture actually matters.""
""how architectural flaws are strongly correlated with high rates of security bugs""
""analyze the relation between file involved in architectural flaws, and files that have proven to be most security-critical""","[Achieve_quality_attributes][Architectural_solutions_growth,_limitations_and_complexities]",,,,,[exploratory],,,,[architectural_analysis],,,[machine_learning][NLP][code_analysis][model_analysis][statistical_analysis],,,[Correlations][architectural_quality_issues],,,,,,,,,,
151,2016 13th Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA),2016,?Å. Darvas; R. Konnerth,System Architecture Recovery Based on Software Structure Model,10.1109/WICSA.2016.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516817,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
